iter	Passed	Remaining
0	7	1508
1	14	1392
2	20	1365
3	27	1343
4	34	1327
5	41	1340
6	47	1298
7	52	1252
8	57	1221
9	62	1179
10	66	1143
11	71	1117
12	76	1093
13	80	1070
14	84	1048
15	89	1033
16	94	1016
17	98	999
18	103	986
19	108	972
20	112	957
21	116	944
22	121	935
23	125	923
24	130	912
25	134	902
26	139	894
27	144	885
28	148	873
29	152	866
30	157	857
31	161	849
32	166	842
33	170	834
34	175	826
35	179	816
36	183	806
37	188	801
38	192	792
39	196	785
40	200	779
41	205	772
42	209	766
43	214	759
44	219	756
45	224	750
46	228	744
47	233	738
48	237	732
49	241	724
50	245	718
51	251	714
52	256	711
53	260	705
54	265	700
55	270	695
56	274	689
57	279	683
58	283	678
59	288	672
60	292	666
61	297	662
62	303	659
63	307	653
64	311	647
65	316	643
66	321	639
67	326	634
68	331	629
69	337	625
70	341	620
71	346	615
72	351	611
73	355	605
74	360	600
75	365	596
76	369	590
77	374	585
78	378	579
79	383	575
80	388	570
81	392	564
82	398	561
83	404	558
84	409	553
85	415	550
86	419	545
87	423	539
88	428	534
89	433	529
90	437	524
91	442	519
92	447	514
93	452	509
94	456	504
95	461	499
96	466	495
97	470	490
98	475	484
99	479	479
100	484	474
101	488	469
102	493	464
103	497	459
104	502	454
105	506	449
106	511	444
107	516	439
108	520	434
109	524	429
110	529	424
111	534	420
112	539	415
113	545	411
114	550	407
115	556	403
116	561	398
117	565	392
118	569	387
119	574	382
120	579	378
121	583	373
122	588	368
123	593	363
124	597	358
125	602	353
126	606	348
127	611	343
128	615	338
129	619	333
130	624	328
131	628	323
132	633	318
133	637	314
134	642	309
135	647	304
136	651	299
137	656	294
138	660	289
139	665	285
140	669	280
141	674	275
142	678	270
143	683	265
144	688	261
145	692	256
146	697	251
147	702	246
148	707	242
149	712	237
150	716	232
151	721	227
152	725	222
153	729	218
154	734	213
155	739	208
156	743	203
157	747	198
158	752	194
159	757	189
160	761	184
161	766	179
162	770	174
163	774	170
164	779	165
165	784	160
166	788	155
167	793	151
168	797	146
169	802	141
170	807	136
171	811	132
172	816	127
173	821	122
174	825	117
175	830	113
176	835	108
177	839	103
178	843	99
179	849	94
180	854	89
181	858	84
182	863	80
183	868	75
184	872	70
185	876	66
186	881	61
187	886	56
188	890	51
189	894	47
190	901	42
191	907	37
192	912	33
193	917	28
194	922	23
195	926	18
196	931	14
197	935	9
198	939	4
199	944	0
